Province,Luas_Panen_ha,Produktivitas_ku_ha,Produksi_ton,Year,Productivity_per_ton,Production_efficiency
MALUKU UTARA,6416.45,38.16,24486.03,2022,3.816,3.8161335317815928
PAPUA BARAT,5460.59,43.89,23963.92,2022,4.389,4.388522119404679
PAPUA,49741.91,38.99,193943.5,2022,3.899,3.898995836709929
ACEH,254287.38,55.22,1404234.82,2023,5.522,5.522235590299448
SUMATERA UTARA,406109.49,51.4,2087474.15,2023,5.14,5.140175744230946
SUMATERA BARAT,300564.77,49.32,1482468.79,2023,4.932,4.932277292511694
RIAU,51914.14,39.68,205972.55,2023,3.968,3.9675616315708973
JAMBI,61236.64,45.06,275941.45,2023,4.506,4.506149422959849
SUMATERA SELATAN,504143.03,56.19,2832773.92,2023,5.619,5.618988563622509
BENGKULU,57877.18,49.53,286684.43,2023,4.953,4.953324090772909
LAMPUNG,530108.09,52.03,2757898.19,2023,5.203,5.202520470872271
BANGKA BELITUNG,15284.56,43.49,66468.89,2023,4.349,4.348760448452556
KEPULAUAN RIAU,115.27,28.11,324.01,2023,2.811,2.810878806280906
JAKARTA,542.93,49.26,2674.28,2023,4.926,4.925644189858731
JAWA BARAT,1583656.28,57.71,9140039.2,2023,5.771,5.771479149503325
JAWA TENGAH,1642761.23,55.3,9084107.53,2023,5.529999999999999,5.5297795955410995
YOGYAKARTA,105693.66,50.53,534113.69,2023,5.053,5.053412759100214
JAWA TIMUR,1698083.31,57.19,9710661.33,2023,5.718999999999999,5.7186012445997125
BANTEN,311199.73,54.19,1686483.29,2023,5.419,5.419295479465872
BALI,108514.06,62.07,673580.65,2023,6.207,6.2073122137352525
NUSA TENGGARA BARAT,287512.14,53.51,1538536.92,2023,5.351,5.3512068046935335
NUSA TENGGARA TIMUR,184698.89,41.52,766810.46,2023,4.152,4.15167876753347
KALIMANTAN BARAT,224068.52,31.25,700290.8,2023,3.125,3.1253421944323105
KALIMANTAN TENGAH,101580.3,32.56,330781.05,2023,3.2560000000000002,3.2563503947123604
KALIMANTAN SELATAN,214283.82,40.86,875545.73,2023,4.086,4.085916192832478
KALIMANTAN TIMUR,57082.01,39.76,226972.07,2023,3.976,3.9762452303273834
KALIMANTAN UTARA,6499.92,36.31,23602.0,2023,3.6310000000000002,3.6311216138044777
SULAWESI UTARA,54562.95,43.65,238193.41,2023,4.365,4.36547895595821
SULAWESI TENGAH,177699.03,46.22,821367.41,2023,4.622,4.622239130962054
SULAWESI SELATAN,967790.21,50.39,4876386.11,2023,5.039,5.0386809657849305
SULAWESI TENGGARA,113930.26,42.08,479407.25,2023,4.208,4.207900956251658
GORONTALO,49610.47,50.68,251431.76,2023,5.068,5.068118887001071
SULAWESI BARAT,58606.67,49.73,291458.59,2023,4.973,4.973130020866226
MALUKU,22636.68,35.32,79958.34,2023,3.532,3.532246778237798
MALUKU UTARA,7709.07,34.59,26663.23,2023,3.4590000000000005,3.458683083692326
PAPUA BARAT,5006.27,45.08,22566.81,2023,4.508,4.507709332497049
PAPUA BARAT DAYA,579.83,41.34,2396.95,2023,4.134,4.133884069468637
PAPUA,840.18,44.76,3760.45,2023,4.476,4.47576709752672
PAPUA SELATAN,44807.86,40.98,183627.83,2023,4.098,4.098116491169183
PAPUA TENGAH,2094.2,44.28,9273.22,2023,4.428,4.428048896953491
PAPUA PEGUNUNGAN,14.14,43.59,61.63,2023,4.359,4.358557284299859
ACEH,301196.35,55.11,1659966.28,2024,5.511,5.511243014731089
SUMATERA UTARA,419463.48,52.56,2204875.51,2024,5.256,5.256418294150422
SUMATERA BARAT,295278.98,45.94,1356467.93,2024,4.593999999999999,4.593851990412592
RIAU,56421.96,39.36,222055.71,2024,3.936,3.9356255968420806
JAMBI,61625.68,45.6,281022.05,2024,4.5600000000000005,4.560145218681562
SUMATERA SELATAN,521092.21,55.83,2909411.67,2024,5.583,5.583295267453719
BENGKULU,55775.09,48.92,272848.55,2024,4.892,4.891942800988757
LAMPUNG,531715.12,52.5,2791347.53,2024,5.25,5.249705011209762
BANGKA BELITUNG,18202.56,42.57,77489.79,2024,4.257,4.257081970887611
KEPULAUAN RIAU,113.33,26.92,305.09,2024,2.692,2.692049766169593
JAKARTA,498.31,46.29,2306.54,2024,4.629,4.6287250908069275
JAWA BARAT,1475362.09,58.47,8626879.91,2024,5.8469999999999995,5.847296720224118
JAWA TENGAH,1554777.14,57.19,8891297.05,2024,5.718999999999999,5.718695510277442
YOGYAKARTA,96976.13,46.7,452831.77,2024,4.67,4.669517849392423
JAWA TIMUR,1616985.05,57.33,9270435.29,2024,5.733,5.73316079205556
BANTEN,299090.79,51.84,1550623.46,2024,5.184,5.184457401714042
BALI,103803.93,61.22,635473.35,2024,6.122,6.121862149149845
NUSA TENGGARA BARAT,281717.84,51.59,1453408.37,2024,5.159000000000001,5.159092409625177
NUSA TENGGARA TIMUR,168727.24,41.95,707792.54,2024,4.195,4.194891945129903
KALIMANTAN BARAT,247207.72,30.94,764784.15,2024,3.0940000000000003,3.0936903993127722
KALIMANTAN TENGAH,111016.13,32.98,366146.82,2024,3.2979999999999996,3.298140729639918
KALIMANTAN SELATAN,246112.42,41.83,1029567.93,2024,4.183,4.18332374286515
KALIMANTAN TIMUR,63041.65,39.6,249642.9,2024,3.96,3.9599677356160567
KALIMANTAN UTARA,8282.06,36.32,30079.77,2024,3.632,3.6319188704259573
SULAWESI UTARA,59121.96,46.2,273134.94,2024,4.62,4.619855972298618
SULAWESI TENGAH,172606.22,44.14,761936.39,2024,4.414,4.414304362843935
SULAWESI SELATAN,951308.6,50.65,4818429.39,2024,5.0649999999999995,5.065053958305433
SULAWESI TENGGARA,129999.61,42.76,555836.08,2024,4.276,4.275674980871096
GORONTALO,46952.15,50.02,234862.88,2024,5.002000000000001,5.002175193255261
SULAWESI BARAT,63181.59,50.47,318876.59,2024,5.047,5.046985838754613
MALUKU,23947.35,38.05,91125.35,2024,3.8049999999999997,3.805237322710029
MALUKU UTARA,9366.71,33.34,31232.95,2024,3.3340000000000005,3.334463221344528
PAPUA BARAT,5121.13,40.48,20729.15,2024,4.048,4.047768754161679
PAPUA BARAT DAYA,363.87,27.17,988.64,2024,2.717,2.717014318300492
PAPUA,1068.57,43.14,4609.95,2024,4.314,4.3141300991044105
PAPUA SELATAN,47168.57,46.17,217789.62,2024,4.617,4.617261451852367
PAPUA TENGAH,1436.12,42.28,6072.38,2024,4.228,4.228323538422973
PAPUA PEGUNUNGAN,9.66,43.87,42.38,2024,4.387,4.387163561076605
