Province,Luas_Panen_ha,Produktivitas_ku_ha,Produksi_ton,Year,Productivity_per_ton,Production_efficiency,Produksi_lag1,Produktivitas_lag1,Area_lag1,Produksi_ma3,Produktivitas_ma3
KALIMANTAN TIMUR,63041.65,39.6,249642.9,2024,3.96,3.9599677356160567,226972.07,39.76,57082.01,238680.09,38.73666666666667
KALIMANTAN UTARA,13707.0,32.88,45063.53,2018,3.2880000000000003,3.2876289487123365,,,,45063.53,32.88
KALIMANTAN UTARA,10294.7,32.4,33357.19,2019,3.2399999999999998,3.2402294384489108,45063.53,32.88,13707.0,39210.36,32.64
KALIMANTAN UTARA,9883.05,33.97,33574.28,2020,3.397,3.397157760003238,33357.19,32.4,10294.7,37331.666666666664,33.083333333333336
KALIMANTAN UTARA,8880.83,33.74,29967.31,2021,3.374,3.3743816737849954,33574.28,33.97,9883.05,32299.593333333334,33.370000000000005
KALIMANTAN UTARA,8604.19,35.49,30533.59,2022,3.5490000000000004,3.5486884878181444,29967.31,33.74,8880.83,31358.39333333333,34.4
KALIMANTAN UTARA,6499.92,36.31,23602.0,2023,3.6310000000000002,3.6311216138044777,30533.59,35.49,8604.19,28034.3,35.18
KALIMANTAN UTARA,8282.06,36.32,30079.77,2024,3.632,3.6319188704259573,23602.0,36.31,6499.92,28071.786666666667,36.04
KEPULAUAN RIAU,375.87,29.19,1097.0,2018,2.919,2.918562268869556,,,,1097.0,29.19
KEPULAUAN RIAU,356.27,32.3,1150.8,2019,3.2299999999999995,3.2301344485923598,1097.0,29.19,375.87,1123.9,30.744999999999997
KEPULAUAN RIAU,298.52,28.56,852.54,2020,2.856,2.8558890526597884,1150.8,32.3,356.27,1033.4466666666667,30.016666666666666
KEPULAUAN RIAU,270.16,31.65,855.01,2021,3.165,3.1648282499259697,852.54,28.56,298.52,952.7833333333333,30.836666666666662
KEPULAUAN RIAU,179.48,28.24,506.91,2022,2.824,2.8243258301760643,855.01,31.65,270.16,738.1533333333333,29.48333333333333
KEPULAUAN RIAU,115.27,28.11,324.01,2023,2.811,2.810878806280906,506.91,28.24,179.48,561.9766666666667,29.333333333333332
KEPULAUAN RIAU,113.33,26.92,305.09,2024,2.692,2.692049766169593,324.01,28.11,115.27,378.67,27.75666666666667
LAMPUNG,511940.93,48.61,2488641.91,2018,4.861,4.861189571226509,,,,2488641.91,48.61
LAMPUNG,464103.42,46.63,2164089.33,2019,4.663,4.662946310544318,2488641.91,48.61,511940.93,2326365.62,47.620000000000005
LAMPUNG,545149.05,48.62,2650289.64,2020,4.862,4.86158719344737,2164089.33,46.63,464103.42,2434340.2933333335,47.95333333333334
LAMPUNG,489573.23,50.77,2485452.78,2021,5.077,5.0767742754235154,2650289.64,48.62,545149.05,2433277.25,48.67333333333334
LAMPUNG,518256.1,51.87,2688160.0,2022,5.186999999999999,5.186933641495006,2485452.78,50.77,489573.23,2607967.473333333,50.419999999999995
LAMPUNG,530108.09,52.03,2757898.19,2023,5.203,5.202520470872271,2688160.0,51.87,518256.1,2643836.9899999998,51.55666666666667
LAMPUNG,531715.12,52.5,2791347.53,2024,5.25,5.249705011209762,2757898.19,52.03,530108.09,2745801.9066666667,52.133333333333326
MALUKU,29052.14,40.01,116228.86,2018,4.0009999999999994,4.000698743707004,,,,116228.86,40.01
MALUKU,25976.85,37.82,98254.75,2019,3.782,3.7823966339259765,116228.86,40.01,29052.14,107241.805,38.915
MALUKU,28668.22,38.53,110447.3,2020,3.853,3.852604033316334,98254.75,37.82,25976.85,108310.30333333334,38.78666666666667
MALUKU,28319.75,41.24,116803.67,2021,4.1240000000000006,4.1244597851322835,110447.3,38.53,28668.22,108501.90666666668,39.196666666666665
